innovation,scheme,adoption_scenario,investment,annual_returns,cumulative_returns,discounted_returns,total_return,roi,roi_percentage,discounted_roi,discounted_roi_percentage,npv,payback_period
Telehealth Platform,NHS Innovation Accelerator,medium,330000.0,"[2000000.0, 4000000.0, 6000000.0, 7000000.0, 8000000.0]","[2000000.0, 6000000.0, 12000000.0, 19000000.0, 27000000.0]","[1932367.1497584542, 3734042.8014656124, 5411656.234008134, 6100095.593890007, 6735785.334868194]",27000000.0,80.81818181818181,8081.818181818181,71.46650640603151,7146.650640603151,23583947.1139904,1
Telehealth Platform,NHS Innovation Accelerator,fast,330000.0,"[3000000.0, 5500000.0, 7500000.0, 8500000.0, 9000000.0]","[3000000.0, 8500000.0, 16000000.0, 24500000.0, 33500000.0]","[2898550.724637681, 5134308.852015217, 6764570.292510168, 7407258.935437866, 7577758.501726718]",33500000.0,100.51515151515152,10051.515151515152,89.24984032220499,8924.984032220498,29452447.30632765,1
Patient Engagement App,NHS Innovation Accelerator,slow,270000.0,"[960000.0, 2400000.0, 3840000.0, 4800000.0, 5760000.0]","[960000.0, 3360000.0, 7200000.0, 12000000.0, 17760000.0]","[927536.231884058, 2240425.6808793675, 3463459.989765206, 4182922.6929531475, 4849765.441105099]",17760000.0,64.77777777777777,6477.777777777777,57.01522235772918,5701.522235772918,15394110.036586879,1
Patient Engagement App,NHS Innovation Accelerator,medium,270000.0,"[1920000.0, 3840000.0, 5760000.0, 6720000.0, 7680000.0]","[1920000.0, 5760000.0, 11520000.0, 18240000.0, 25920000.0]","[1855072.463768116, 3584681.0894069877, 5195189.984647809, 5856091.770134406, 6466353.921473466]",25920000.0,95.0,9500.0,84.02736751641032,8402.736751641032,22687389.229430787,1
Patient Engagement App,NHS Innovation Accelerator,fast,270000.0,"[2880000.0, 5280000.0, 7200000.0, 8160000.0, 8640000.0]","[2880000.0, 8160000.0, 15360000.0, 23520000.0, 32160000.0]","[2782608.6956521743, 4928936.497934608, 6493987.480809761, 7110968.578020351, 7274648.161657649]",32160000.0,118.11111111111111,11811.111111111111,104.89314597805387,10489.314597805387,28321149.414074544,1
HeartFlow,MedTech Funding Mandate,slow,500000.0,"[1500000.0, 3500000.0, 5000000.0, 6500000.0, 7500000.0]","[1500000.0, 5000000.0, 10000000.0, 16500000.0, 24000000.0]","[1449275.3623188406, 3267287.451282411, 4509713.5283401115, 5664374.480040721, 6314798.751438932]",24000000.0,47.0,4700.0,41.410899146842034,4141.089914684203,20705449.573421016,1
HeartFlow,MedTech Funding Mandate,medium,500000.0,"[3000000.0, 5500000.0, 7000000.0, 8000000.0, 8500000.0]","[3000000.0, 8500000.0, 15500000.0, 23500000.0, 32000000.0]","[2898550.724637681, 5134308.852015217, 6313598.939676156, 6971537.821588579, 7156771.918297456]",32000000.0,63.0,6300.0,55.94953651243018,5594.953651243018,27974768.256215088,1
HeartFlow,MedTech Funding Mandate,fast,500000.0,"[5000000.0, 7500000.0, 8500000.0, 9000000.0, 9500000.0]","[5000000.0, 12500000.0, 21000000.0, 30000000.0, 39500000.0]","[4830917.874396136, 7001330.252748023, 7666512.998178191, 7842980.049287152, 7998745.08515598]",39500000.0,78.0,7800.0,69.68097251953097,6968.097251953097,34840486.25976548,1
SecurAcath,MedTech Funding Mandate,slow,200000.0,"[495000.0, 1155000.0, 1650000.0, 2145000.0, 2475000.0]","[495000.0, 1650000.0, 3300000.0, 5445000.0, 7920000.0]","[478260.8695652174, 1078204.8589231956, 1488205.4643522368, 1869243.5784134378, 2083883.5879748473]",7920000.0,38.6,3860.0,33.988991796144674,3398.8991796144674,6797798.359228935,1
SecurAcath,MedTech Funding Mandate,medium,200000.0,"[990000.0, 1815000.0000000002, 2310000.0, 2640000.0, 2805000.0]","[990000.0, 2805000.0, 5115000.0, 7755000.0, 10560000.0]","[956521.7391304348, 1694321.9211650218, 2083487.6500931317, 2300607.481124231, 2361734.7330381605]",10560000.0,51.8,5180.0,45.9833676227549,4598.3367622754895,9196673.52455098,1
SecurAcath,MedTech Funding Mandate,fast,200000.0,"[1650000.0, 2475000.0, 2805000.0, 2970000.0, 3135000.0]","[1650000.0, 4125000.0, 6930000.0, 9900000.0, 13035000.0]","[1594202.8985507248, 2310438.9834068473, 2529949.289398803, 2588183.41626476, 2639585.878101473]",13035000.0,64.175,6417.5,57.311802328613034,5731.180232861303,11462360.465722607,1
Gammacore,MedTech Funding Mandate,slow,350000.0,"[1012500.0, 2362500.0, 3375000.0, 4387500.0, 5062500.0]","[1012500.0, 3375000.0, 6750000.0, 11137500.0, 16200000.0]","[978260.8695652174, 2205419.029615627, 3044056.6316295755, 3823452.7740274863, 4262489.157221279]",16200000.0,45.285714285714285,4528.571428571428,39.89622417731196,3989.6224177311956,13963678.462059185,1
Gammacore,MedTech Funding Mandate,medium,350000.0,"[2025000.0, 3712500.0000000005, 4725000.0, 5400000.0, 5737500.0]","[2025000.0, 5737500.0, 10462500.0, 15862500.0, 21600000.0]","[1956521.7391304348, 3465658.475110272, 4261679.284281406, 4705788.029572291, 4830821.0448507825]",21600000.0,60.714285714285715,6071.428571428572,53.9156244941291,5391.56244941291,18870468.572945185,1
Gammacore,MedTech Funding Mandate,fast,350000.0,"[3375000.0, 5062500.0, 5737500.0, 6075000.0, 6412500.0]","[3375000.0, 8437500.0, 14175000.0, 20250000.0, 26662500.0]","[3260869.5652173916, 4725897.920604915, 5174896.273770278, 5294011.533268827, 5399152.932480287]",26662500.0,75.17857142857143,7517.857142857143,67.15665207240485,6715.665207240485,23504828.2253417,1
